trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-141.54979049637282,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-145.28647128498946,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-112.2498680111144,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-215.42921429375116,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-92.52098394082833,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-150.49028315578465,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-65.38403636403734,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-150.7446674368693,"{0: 9, 1: 2, 2: 5, 3: 3, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-177.75705411832521,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-87.15159830584686,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-160.06511337651878,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-203.3456735029099,"{0: 14, 1: 0, 2: 12, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-47.399938776758326,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,-108.84358504529668,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-166.33152736297927,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-161.54773370245,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-255.08546341493116,"{0: 11, 1: 3, 2: 5, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-299.32415360862996,"{0: 12, 1: 2, 2: 10, 3: 2, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-283.2350313234824,"{0: 8, 1: 0, 2: 11, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-108.82817373185036,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-226.1742453325897,"{0: 10, 1: 0, 2: 11, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-225.60058282835695,"{0: 7, 1: 0, 2: 7, 3: 4, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-245.96312422516246,"{0: 8, 1: 1, 2: 11, 3: 3, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-96.6219475936333,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-227.96342074828308,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",25,0,-160.84953732585276,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-246.9853640130488,"{0: 13, 1: 2, 2: 3, 3: 3, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-33.95806124971119,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-271.0994100839682,"{0: 13, 1: 1, 2: 12, 3: 0, 4: 4}",0
10,True,"{'a': 0, 'e': 0}",20,0,-112.05719971088872,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
