trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 0.44932896411722156}",30,0,-264.92203867480714,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
2,False,"{'a': 0.05, 'e': 0.20189651799465538}",20,0,-119.28619766136484,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.05, 'e': 0.09071795328941247}",20,0,-73.48551191058975,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.05, 'e': 0.040762203978366211}",20,0,-207.68829468665703,"{0: 8, 1: 1, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.05, 'e': 0.018315638888734179}",25,0,-154.64588683850167,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.05, 'e': 0.0082297470490200232}",20,0,-178.04042481679897,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.05, 'e': 0.003697863716482929}",25,0,-226.07430857643735,"{0: 10, 1: 0, 2: 11, 3: 2, 4: 2}",0
8,False,"{'a': 0.05, 'e': 0.0016615572731739339}",25,0,-201.89348493754784,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
9,False,"{'a': 0.05, 'e': 0.0007465858083766792}",20,0,-155.25176929940966,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.05, 'e': 0.00033546262790251185}",20,0,-171.0977693459013,"{0: 7, 1: 3, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.05, 'e': 0.0001507330750954765}",30,0,-215.47183590429054,"{0: 11, 1: 1, 2: 16, 3: 1, 4: 1}",0
12,False,"{'a': 0.05, 'e': 6.7728736490853776e-05}",30,0,-267.3461582673841,"{0: 13, 1: 0, 2: 12, 3: 2, 4: 3}",0
13,False,"{'a': 0.05, 'e': 3.0432483008403625e-05}",20,0,-129.94022811956773,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.05, 'e': 1.3674196065680938e-05}",25,0,-150.88446180977084,"{0: 10, 1: 0, 2: 14, 3: 1, 4: 0}",0
15,False,"{'a': 0.05, 'e': 6.1442123533282098e-06}",25,0,-263.432438435051,"{0: 10, 1: 0, 2: 11, 3: 0, 4: 4}",0
16,False,"{'a': 0.05, 'e': 2.7607725720371986e-06}",20,0,-233.13380555445752,"{0: 4, 1: 0, 2: 12, 3: 2, 4: 2}",0
17,False,"{'a': 0.05, 'e': 1.2404950799567113e-06}",20,0,-191.5557241299439,"{0: 8, 1: 0, 2: 8, 3: 2, 4: 2}",0
18,False,"{'a': 0.05, 'e': 5.5739036926945956e-07}",25,0,-214.43040475316903,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
19,False,"{'a': 0.05, 'e': 2.5045163723276172e-07}",20,0,-115.44680459694067,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 1.1253517471925912e-07}",30,0,-180.72067260199785,"{0: 16, 1: 0, 2: 11, 3: 2, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,13,-35.546347042046854,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,-297.9223019180913,"{0: 12, 1: 0, 2: 9, 3: 7, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-186.82663770085608,"{0: 12, 1: 0, 2: 10, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-143.980117973522,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-200.45499936648542,"{0: 5, 1: 2, 2: 9, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-136.5823311405672,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-281.24025103943336,"{0: 9, 1: 0, 2: 11, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-192.92302967722586,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-153.3985184581687,"{0: 12, 1: 0, 2: 11, 3: 1, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,-178.1775734502686,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
