trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.15359026629458,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-92.12138254956392,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-132.22917290649661,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-209.39003987879528,"{0: 15, 1: 2, 2: 8, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-253.59758582775012,"{0: 8, 1: 4, 2: 8, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.54535847338913,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.06605373285582,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.09296878115029,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",30,17,-26.241786632333454,"{0: 10, 1: 1, 2: 0, 3: 2, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.34856164615564,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.76227384136176,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-84.01310653776264,"{0: 8, 1: 7, 2: 0, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.37852411537436,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.6252374417118,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.77324614914004,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.66675569180063,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,9,-145.49413002798042,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.1427103723333,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.89674463026049,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.1271604389584,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.30475094476037,"{0: 14, 1: 6, 2: 2, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-220.51621058444016,"{0: 8, 1: 0, 2: 7, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,2,-51.95804266929137,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-160.32874418825065,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-114.51270810181428,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.60665275398364,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-168.36561605185835,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-146.25935322543447,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-81.35452438454037,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-221.92676193203062,"{0: 19, 1: 6, 2: 5, 3: 2, 4: 3}",0
